seller_id,orders,late_orders,aov,late_pct,convert_orders,inc_repeats,inc_revenue
4869f7a5dfa277a7dca6462dcf3b52b2,1125,118,204.8293688888889,10.488888888888887,24.0,0.077544607410694,15.88341299666912
7d13fca15225358621be4086e1eb0964,562,64,205.27921708185053,11.387900355871883,13.0,0.0420033290141259,8.62241049485115
f7ba60f8c3f99e7ee4042fdef03b70c4,217,30,316.1101382488479,13.82488479262673,6.0,0.0193861518526735,6.128159142261782
06a2c3af7b3aee5d69171b0e14f0ee87,391,74,92.94618925831202,18.92583120204604,15.0,0.0484653796316837,4.504672347722422
8160255418d5aaa7dbdc9f4c64ebda44,373,51,124.79061662198392,13.672922252010723,10.0,0.0323102530877891,4.032016406037573
88460e8ebdecbfecb5f9601833981930,240,42,137.91608333333335,17.5,8.0,0.0258482024702313,3.5648828459013
b33e7c55446eabf8fe1a42d037ac7d6d,150,17,298.5134,11.333333333333332,3.0,0.0096930759263367,2.8935130512289344
2eb70248d66e0e3ef83659f71b244378,200,21,212.44405,10.5,4.0,0.0129241012351156,2.745648408997976
855668e0971d4dfd7bef1b6a4133b41b,310,38,103.81661290322582,12.258064516129032,8.0,0.0258482024702313,2.6834728300962136
c3867b4666c7d76867627c2f7fb22e21,242,25,153.69504132231404,10.330578512396697,5.0,0.0161551265438945,2.482962841731092
