customer_state,orders,late_orders,aov,late_pct,convert_orders,inc_repeats,inc_revenue
SP,41746,1820,125.75117945619336,4.359699132851052,1252.0,4.045243686591206,508.694164776564
RJ,12852,1495,142.93156793606016,11.632430750077807,386.0,1.247175769188663,178.26078818199744
MG,11635,520,137.32744542619542,4.46927374301676,349.0,1.1276278327638427,154.85424966493562
RS,5466,325,138.12666053019146,5.945847054518843,164.0,0.5298881506397427,73.19168070238669
PR,5045,199,136.6714205682273,3.944499504459861,151.0,0.4878848216256167,66.67991164524922
SC,3637,291,144.11775747508307,8.001099807533683,109.0,0.3521817586569021,50.75564528126366
BA,3380,396,152.2781387730792,11.715976331360949,101.0,0.3263335561866708,49.6934665553063
DF,2140,118,142.40185411764705,5.514018691588785,64.0,0.2067856197618508,29.44665565895431
GO,2020,128,146.78223716990533,6.336633663366337,61.0,0.197092543835514,28.929684513684386
ES,2033,214,135.8208938271605,10.526315789473683,61.0,0.197092543835514,26.769285470408327
