customer_state,seller_id,orders,late_orders,late_pct
SP,7c67e1448b00f6e969d365cea6b010ab,388,29,7.474226804123711
RJ,e9779976487b77c6d4ac45f75ec7afe9,67,5,7.462686567164178
SP,634964b17796e64304cadf1ad3050fb7,81,6,7.4074074074074066
MG,8581055ce74af1daba164fdbd55a40de,54,4,7.4074074074074066
SP,6973a06f484aacf400ece213dbf3d946,54,4,7.4074074074074066
SP,e9d99831abad74458942f21e16f33f92,54,4,7.4074074074074066
SP,855668e0971d4dfd7bef1b6a4133b41b,123,9,7.317073170731707
SP,b499c00f28f4b7069ff6550af8c1348a,82,6,7.317073170731707
RS,128639473a139ac0f3e5f5ade55873a5,55,4,7.2727272727272725
SP,729f06993dac8e860d4f02d7088ca48a,55,4,7.2727272727272725
SP,8d956fec2e4337affcb520f56fd8cbfd,98,7,7.142857142857142
SP,46dc3b2cc0980fb8ec44634e21d2718e,155,11,7.096774193548387
MG,391fc6631aebcf3004804e51b40bcf1e,71,5,7.042253521126761
MG,620c87c171fb2a6dd6e8bb4dec959fc6,114,8,7.017543859649122
SP,70a12e78e608ac31179aea7f8422044b,117,8,6.837606837606838
SC,7a67c85e85bb2ce8582c35f2203ad736,59,4,6.779661016949152
SP,4a3ca9315b744ce9f8e9374361493884,795,53,6.666666666666667
MG,955fee9216a65b617aa5c0531780ce60,135,9,6.666666666666667
MG,4869f7a5dfa277a7dca6462dcf3b52b2,120,8,6.666666666666667
SP,001cca7ae9ae17fb1caed9dfb1094831,60,4,6.666666666666667
SP,1025f0e2d44d7041d6cf58b6550e0bfa,319,21,6.583072100313479
SP,e9bc59e7b60fc3063eb2290deda4cced,92,6,6.521739130434782
SP,7ad32824caee82087b3e2e5f33b1bf32,77,5,6.493506493506493
SP,8581055ce74af1daba164fdbd55a40de,201,13,6.467661691542288
SP,76d5af76d0271110f9af36c92573f765,63,4,6.349206349206349
MG,d2374cbcbb3ca4ab1086534108cc3ab7,64,4,6.25
RS,955fee9216a65b617aa5c0531780ce60,65,4,6.153846153846154
SP,ef506c96320abeedfb894c34db06f478,98,6,6.122448979591836
SP,c003204e1ab016dfa150abc119207b24,82,5,6.097560975609756
RS,da8622b14eb17ae2831f4ac5b9dab84a,66,4,6.0606060606060606
SP,59b22a78efb79a4797979612b885db36,50,3,6.0
SP,6a8b085f816a1f75f92dbac6eb545f8f,50,3,6.0
SP,7008613ea464bad5cb9b83456e1e6a8f,50,3,6.0
SP,9c0e69c7bf2619675bbadf47b43f655a,84,5,5.952380952380952
SP,0dd184061fb0eaa7ca37932c68ab91c5,68,4,5.88235294117647
MG,897060da8b9a21f655304d50fd935913,51,3,5.88235294117647
SP,431af27f296bc6519d890aa5a05fdb11,51,3,5.88235294117647
SP,53243585a1d6dc2643021fd1853d8905,86,5,5.813953488372093
RJ,85d9eb9ddc5d00ca9336a2219c97bb13,52,3,5.769230769230769
RS,1f50f920176fa81dab994f9023523100,105,6,5.714285714285714
MG,ea8482cd71df3c1969d7b9473ff13abc,123,7,5.691056910569105
RJ,4e922959ae960d389249c378d1c939f5,53,3,5.660377358490567
SP,0adac9fbd9a2b63cccaac4f8756c1ca8,53,3,5.660377358490567
SP,8160255418d5aaa7dbdc9f4c64ebda44,160,9,5.625
SP,4869f7a5dfa277a7dca6462dcf3b52b2,446,25,5.605381165919283
SP,fe2032dab1a61af8794248c8196565c9,143,8,5.594405594405594
SP,b33e7c55446eabf8fe1a42d037ac7d6d,55,3,5.454545454545454
SP,d91fb3b7d041e83b64a00a3edfb37e4f,242,13,5.371900826446281
RJ,d91fb3b7d041e83b64a00a3edfb37e4f,56,3,5.357142857142857
SP,c9c7905cffc4ef9ff9f113554423e671,56,3,5.357142857142857
RJ,cc419e0650a3c5ba77189a1882b7556a,188,10,5.319148936170213
SP,c70c1b0d8ca86052f45a432a38b73958,171,9,5.263157894736842
PR,cc419e0650a3c5ba77189a1882b7556a,76,4,5.263157894736842
SP,f7ba60f8c3f99e7ee4042fdef03b70c4,76,4,5.263157894736842
MG,8b321bb669392f5163d04c59e235e066,77,4,5.194805194805195
MG,1f50f920176fa81dab994f9023523100,175,9,5.142857142857142
SP,00ee68308b45bc5e2660cd833c3f81cc,78,4,5.128205128205128
SP,1da3aeb70d7989d1e6d9b0e887f97c23,137,7,5.109489051094891
SP,5dceca129747e92ff8ef7a997dc4f8ca,142,7,4.929577464788732
SP,7a67c85e85bb2ce8582c35f2203ad736,367,18,4.904632152588556
SP,391fc6631aebcf3004804e51b40bcf1e,248,12,4.838709677419355
SP,17e34d8224d27a541263c4c64b11a56b,108,5,4.62962962962963
SP,7d76b645482be4a332374e8223836592,65,3,4.615384615384616
SP,1835b56ce799e6a4dc4eddc053f04066,196,9,4.591836734693878
SP,ceaec5548eefc6e23e6607c5435102e7,66,3,4.545454545454546
MG,7a67c85e85bb2ce8582c35f2203ad736,133,6,4.511278195488721
SP,669ae81880e08f269a64487cfb287169,67,3,4.477611940298507
SP,1900267e848ceeba8fa32d80c1a5f5a8,182,8,4.395604395604396
PR,1025f0e2d44d7041d6cf58b6550e0bfa,69,3,4.3478260869565215
SP,0c8380b62e38e8a1e6adbeba7eb9688c,69,3,4.3478260869565215
SP,25c5c91f63607446a97b143d2d535d31,69,3,4.3478260869565215
SP,cfb1a033743668a192316f3c6d1d2671,69,3,4.3478260869565215
SP,2138ccb85b11a4ec1e37afbd1c8eda1f,139,6,4.316546762589928
SP,b2ba3715d723d245138f291a6fe42594,164,7,4.2682926829268295
SP,7aa4334be125fcdd2ba64b3180029f14,94,4,4.25531914893617
PR,1f50f920176fa81dab994f9023523100,71,3,4.225352112676056
SP,16090f2ca825584b5a147ab24aa30c86,222,9,4.054054054054054
RS,ea8482cd71df3c1969d7b9473ff13abc,75,3,4.0
SP,5a8e7d5003a1f221f9e1d6e411de7c23,50,2,4.0
SP,98dac6635aee4995d501a3972e047414,50,2,4.0
SP,6edacfd9f9074789dad6d62ba7950b9c,102,4,3.9215686274509802
SP,7299e27ed73d2ad986de7f7c77d919fa,128,5,3.90625
SP,fa1c13f2614d7b5c4749cbc52fecda94,205,8,3.902439024390244
SP,e9779976487b77c6d4ac45f75ec7afe9,386,15,3.8860103626943006
SP,ea8482cd71df3c1969d7b9473ff13abc,415,16,3.8554216867469884
BA,7a67c85e85bb2ce8582c35f2203ad736,52,2,3.8461538461538463
RS,87142160b41353c4e5fca2360caf6f92,52,2,3.8461538461538463
SP,c33847515fa6305ce6feb1e818569f13,52,2,3.8461538461538463
SP,6560211a19b47992c3666cc44a7e94c0,810,31,3.8271604938271606
SP,218d46b86c1881d022bce9c68a7d4b15,183,7,3.825136612021858
SP,7142540dd4c91e2237acb7e911c4eba2,105,4,3.8095238095238098
SP,1a3df491d1c4f1589fc2b934ada68bf2,53,2,3.7735849056603774
SP,59fb871bf6f4522a87ba567b42dafecf,53,2,3.7735849056603774
SP,a3e9a2c700480d9bb01fba070ba80a0e,53,2,3.7735849056603774
SP,f84fa566034f5e8e880a07ec624c56af,54,2,3.7037037037037033
SP,36a968b544695394e4e9d7572688598f,83,3,3.614457831325301
MG,1025f0e2d44d7041d6cf58b6550e0bfa,111,4,3.6036036036036037
SP,c826c40d7b19f62a09e2d7c5e7295ee2,111,4,3.6036036036036037
DF,cc419e0650a3c5ba77189a1882b7556a,57,2,3.508771929824561
MG,53e4c6e0f4312d4d2107a8c9cddf45cd,57,2,3.508771929824561
MG,7299e27ed73d2ad986de7f7c77d919fa,57,2,3.508771929824561
SP,640e21a7d01df7614a3b4923e990d40c,57,2,3.508771929824561
SP,f8db351d8c4c4c22c6835c19a46f01b0,289,10,3.4602076124567476
SP,b76dba6c951ab00dc4edf0a1aa88037e,63,2,3.1746031746031744
SP,41b39e28db005d9731d9d485a83b4c38,95,3,3.1578947368421053
SP,2c9e548be18521d1c43cde1c582c6de8,64,2,3.125
SP,9d4db00d65d7760644ac0c14edb5fd86,64,2,3.125
MG,cc419e0650a3c5ba77189a1882b7556a,195,6,3.076923076923077
MG,46dc3b2cc0980fb8ec44634e21d2718e,65,2,3.076923076923077
SP,17a053fcb14bd219540cbde0df490be0,65,2,3.076923076923077
SP,d1c281d3ae149232351cd8c8cc885f0d,99,3,3.0303030303030303
SP,dc4a0fc896dc34b0d5bfec8438291c80,99,3,3.0303030303030303
SP,cca3071e3e9bb7d12640c9fbe2301306,306,9,2.941176470588235
SP,fa40cc5b934574b62717c68f3d678b6d,136,4,2.941176470588235
SP,7040e82f899a04d1b434b795a43b4617,102,3,2.941176470588235
SP,8a32e327fe2c1b3511609d81aaf9f042,68,2,2.941176470588235
PR,ea8482cd71df3c1969d7b9473ff13abc,69,2,2.898550724637681
SP,53e4c6e0f4312d4d2107a8c9cddf45cd,242,7,2.8925619834710745
SP,3d871de0142ce09b7081e2b9d1733cb1,459,13,2.832244008714597
RS,7a67c85e85bb2ce8582c35f2203ad736,106,3,2.8301886792452833
SP,1f50f920176fa81dab994f9023523100,497,14,2.8169014084507045
SP,1c68394e931a64f90ea236c5ea590300,71,2,2.8169014084507045
SP,6d66611d7c44cc30ce351abc49a68421,71,2,2.8169014084507045
SP,a1043bafd471dff536d0c462352beb48,107,3,2.803738317757009
SP,f45122a9ab94eb4f3f8953578bc0c560,74,2,2.7027027027027026
SP,7178f9f4dd81dcef02f62acdf8151e01,77,2,2.5974025974025974
SP,da8622b14eb17ae2831f4ac5b9dab84a,710,18,2.535211267605634
SP,955fee9216a65b617aa5c0531780ce60,637,16,2.511773940345369
SP,37515688008a7a40ac93e3b2e4ab203f,120,3,2.5
SP,4b9750c8ad28220fe6702d4ecb7c898f,120,3,2.5
SP,2e1c9f22be269ef4643f826c9e650a52,80,2,2.5
SP,850f4f8af5ea87287ac68de36e29107f,80,2,2.5
SP,cbd996ad3c1b7dc71fd0e5f5df9087e2,82,2,2.4390243902439024
SP,d2374cbcbb3ca4ab1086534108cc3ab7,248,6,2.4193548387096775
SP,cc419e0650a3c5ba77189a1882b7556a,672,16,2.380952380952381
SP,7ddcbb64b5bc1ef36ca8c151f6ec77df,126,3,2.380952380952381
SP,1c129092bf23f28a5930387c980c0dfc,84,2,2.380952380952381
RJ,46dc3b2cc0980fb8ec44634e21d2718e,128,3,2.34375
SP,8b321bb669392f5163d04c59e235e066,386,9,2.33160621761658
SP,0be8ff43f22e456b4e0371b2245e4d01,86,2,2.3255813953488373
SP,a3a38f4affed601eb87a97788c949667,87,2,2.2988505747126435
SP,de722cd6dad950a92b7d4f82673f8833,87,2,2.2988505747126435
MG,cca3071e3e9bb7d12640c9fbe2301306,88,2,2.272727272727273
SP,1554a68530182680ad5c8b042c3ab563,88,2,2.272727272727273
SP,f457c46070d02cadd8a68551231220dd,88,2,2.272727272727273
SP,3c7c4a49ec3c6550809089c6a2ca9370,90,2,2.2222222222222223
SP,54a1852d1b8f10312c55e906355666ee,90,2,2.2222222222222223
SP,4830e40640734fc1c52cd21127c341d4,93,2,2.1505376344086025
SP,92eb0f42c21942b6552362b9b114707d,144,3,2.083333333333333
SP,9f505651f4a6abe901a56cdc21508025,195,4,2.051282051282051
MG,7c67e1448b00f6e969d365cea6b010ab,98,2,2.0408163265306123
SP,87142160b41353c4e5fca2360caf6f92,99,2,2.0202020202020203
PR,955fee9216a65b617aa5c0531780ce60,50,1,2.0
SP,37be5a7c751166fbc5f8ccba4119e043,102,2,1.9607843137254901
RJ,7299e27ed73d2ad986de7f7c77d919fa,51,1,1.9607843137254901
SP,17ca9b9e9b9ef8fdb529001b49ebb50f,51,1,1.9607843137254901
SP,18a349e75d307f4b4cc646a691ed4216,51,1,1.9607843137254901
RJ,620c87c171fb2a6dd6e8bb4dec959fc6,156,3,1.9230769230769231
RS,f8db351d8c4c4c22c6835c19a46f01b0,52,1,1.9230769230769231
SP,79ebd9a61bac3eaf882805ed4ecfa12a,52,1,1.9230769230769231
SP,b4ffb71f0cb1b1c3d63fad021ecf93e1,53,1,1.8867924528301887
SP,5d0363b33554b373851fc1622e4d5f3c,54,1,1.8518518518518516
SP,5656537e588803a555b8eb41f07a944b,55,1,1.8181818181818181
SP,710e3548e02bc1d2831dfc4f1b5b14d4,55,1,1.8181818181818181
SP,0db783cfcd3b73998abc6e10e59a102f,56,1,1.7857142857142856
SP,dbb9b48c841a0e39e21f98e1a6b2ec3e,56,1,1.7857142857142856
SP,004c9cd9d87a3c30c522c48c4fc07416,57,1,1.7543859649122806
SP,522620dcb18a6b31cd7bdf73665113a9,57,1,1.7543859649122806
SP,d98eec89afa3380e14463da2aabaea72,58,1,1.7241379310344827
SP,febab0275244b9a49a623f0bd613ca2f,58,1,1.7241379310344827
SP,f262cbc1c910c83959f849465454ddd3,118,2,1.694915254237288
SP,01fdefa7697d26ad920e9e0346d4bd1b,59,1,1.694915254237288
SP,9b013e03b2ab786505a1d3b5c0756754,119,2,1.680672268907563
SP,2a84855fd20af891be03bc5924d2b453,62,1,1.6129032258064515
SP,ce27a3cc3c8cc1ea79d11e561e9bebb6,62,1,1.6129032258064515
SP,85d9eb9ddc5d00ca9336a2219c97bb13,133,2,1.5037593984962405
MG,6560211a19b47992c3666cc44a7e94c0,200,3,1.5
RS,6560211a19b47992c3666cc44a7e94c0,67,1,1.4925373134328357
SP,0bae85eb84b9fb3bd773911e89288d54,67,1,1.4925373134328357
SP,1e8b33f18b4f7598d87f5cbee2282cc2,68,1,1.4705882352941175
RJ,f8db351d8c4c4c22c6835c19a46f01b0,72,1,1.3888888888888888
SP,86ccac0b835037332a596a33b6949ee1,72,1,1.3888888888888888
SP,562fc2f2c2863ab7e79a9e4388a58a14,75,1,1.3333333333333335
SP,7722b1df1b0e383e000397b2c11e3e19,77,1,1.2987012987012987
SP,2528513dd95219a6013d4d05176e391a,78,1,1.282051282051282
SP,de23c3b98a88888289c6f5cc1209054a,78,1,1.282051282051282
SP,0ea22c1cfbdc755f86b9b54b39c16043,81,1,1.2345679012345678
RS,cc419e0650a3c5ba77189a1882b7556a,86,1,1.1627906976744187
MG,3d871de0142ce09b7081e2b9d1733cb1,91,1,1.098901098901099
MG,a1043bafd471dff536d0c462352beb48,187,2,1.06951871657754
SP,e26901d5ab434ce92fd9b5c256820a4e,99,1,1.0101010101010102
SP,813348c996469b40f2e028d5429d3495,100,1,1.0
MG,85d9eb9ddc5d00ca9336a2219c97bb13,103,1,0.9708737864077669
MG,dbc22125167c298ef99da25668e1011f,104,1,0.9615384615384616
